City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vila franca do campo,37.7167,-25.4333,15.23,89,38,2.38,PT,1706655260
1,kayangel,8.0823,134.7173,27.23,82,35,10.65,PW,1706655491
2,nguti,5.3299,9.4185,25.31,66,65,1.1,CM,1706655491
3,puerto ayora,-0.7393,-90.3518,28.98,80,85,4.52,EC,1706655492
4,peddapalli,18.6167,79.3667,18.97,57,11,1.25,IN,1706655492
5,edinburgh of the seven seas,-37.0676,-12.3116,14.28,60,55,3.55,SH,1706655492
6,polyarnyy,69.1989,33.4478,2.63,79,96,12.37,RU,1706655492
7,grytviken,-54.2811,-36.5092,4.3,76,24,4.55,GS,1706655493
8,longyearbyen,78.2186,15.6401,-5.09,63,75,6.17,SJ,1706655493
9,narvik,68.4384,17.4272,3.67,90,99,7.59,NO,1706655208
10,itaituba,-4.2761,-55.9836,28.09,83,40,1.03,BR,1706655493
11,port-aux-francais,-49.35,70.2167,3.88,71,87,14.71,TF,1706655493
12,tateyama,34.9833,139.8667,6.17,60,5,2.38,JP,1706655493
13,iqaluit,63.7506,-68.5145,-21.15,65,100,5.66,CA,1706655494
14,east london,-33.0153,27.9116,22.38,81,100,2.75,ZA,1706655494
15,port elizabeth,-33.918,25.5701,22.4,86,0,0.89,ZA,1706655494
16,kamina,-8.7386,24.9906,17.86,96,96,0.43,CD,1706655494
17,wailua homesteads,22.0669,-159.378,22.64,82,100,5.14,US,1706655494
18,labrador city,52.9463,-66.9114,-15.05,48,20,3.09,CA,1706655495
19,aasiaat,68.7098,-52.8699,-30.88,98,59,5.15,GL,1706655495
20,badger,64.8,-147.5333,-25.86,67,75,0.0,US,1706655495
21,blackmans bay,-43.0167,147.3167,18.07,53,97,0.45,AU,1706655495
22,papatowai,-46.5619,169.4708,19.25,61,37,1.63,NZ,1706655495
23,albany,42.6001,-73.9662,-0.46,83,100,2.16,US,1706654800
24,ushuaia,-54.8,-68.3,15.81,55,40,5.14,AR,1706655496
25,choibalsan,48.0667,114.5,-28.51,90,5,4.48,MN,1706655202
26,adamstown,-25.066,-130.1015,23.98,80,100,14.23,PN,1706655496
27,ribeira grande,38.5167,-28.7,14.87,88,49,2.24,PT,1706655496
28,dudinka,69.4058,86.1778,-20.18,84,89,9.39,RU,1706655496
29,forster,-32.1667,152.5167,27.94,72,9,2.3,AU,1706655497
30,chibougamau,49.9168,-74.3659,-5.21,80,100,4.63,CA,1706655270
31,boende,-0.2167,20.8667,25.64,63,100,0.59,CD,1706655497
32,mount isa,-20.7333,139.5,24.87,94,100,6.69,AU,1706655497
33,puerto natales,-51.7236,-72.4875,12.24,65,70,3.41,CL,1706655497
34,bouarfa,32.53,-1.95,7.32,37,13,0.78,MA,1706655498
35,petropavlovsk-kamchatsky,53.0452,158.6483,-15.3,94,75,4.0,RU,1706655498
36,stanley,54.868,-1.6985,3.49,88,0,4.63,GB,1706655353
37,debre tabor,11.85,38.0167,13.48,73,100,2.13,ET,1706655498
38,coquimbo,-29.9533,-71.3436,18.85,82,75,4.63,CL,1706655498
39,lorengau,-2.0226,147.2712,28.97,77,92,4.7,PG,1706655273
40,magog,45.2668,-72.1491,-3.11,74,100,1.03,CA,1706655499
41,brak,27.5496,14.2714,8.69,54,1,4.37,LY,1706655499
42,la passe,45.5549,-0.8967,9.13,90,51,2.38,FR,1706655499
43,bilibino,68.0546,166.4372,-34.07,99,100,0.54,RU,1706655499
44,egilsstadir,65.2653,-14.3948,-1.05,69,75,4.12,IS,1706655500
45,anadyr,64.75,177.4833,-32.72,74,0,3.0,RU,1706655500
46,el calafate,-50.3408,-72.2768,14.41,60,24,7.33,AR,1706655500
47,isafjordur,66.0755,-23.124,-3.25,81,99,6.1,IS,1706655500
48,west island,-12.1568,96.8225,25.99,83,58,1.54,CC,1706655501
49,tolanaro,-25.0319,46.9987,25.04,83,40,5.14,MG,1706655501
50,yuzhno-kurilsk,44.0306,145.8556,-2.01,71,80,2.94,RU,1706655221
51,iskateley,67.6803,53.1512,-6.1,92,51,4.92,RU,1706655501
52,keflavik,64.0049,-22.5624,-1.76,86,75,14.92,IS,1706655501
53,newman,37.3138,-121.0208,22.94,72,96,2.24,US,1706655502
54,ambon,-3.6954,128.1814,26.08,94,40,2.57,ID,1706655502
55,mga,59.75,31.0667,-2.75,98,99,3.0,RU,1706655502
56,smithers,54.7804,-127.1743,7.18,76,20,0.0,CA,1706655502
57,vorgashor,67.5833,63.95,-12.97,95,100,4.7,RU,1706655502
58,rosarito,32.3333,-117.0333,25.23,57,51,3.58,MX,1706655502
59,flying fish cove,-10.4217,105.6791,24.82,94,40,1.54,CX,1706655502
60,dawei,14.0833,98.2,21.37,91,13,1.6,MM,1706655503
61,ouani,-12.1322,44.4258,26.65,80,100,2.73,KM,1706655503
62,al qusayr,34.5091,36.5798,5.98,81,96,1.01,SY,1706655503
63,susuman,62.7833,148.1667,-38.2,100,97,0.26,RU,1706655503
64,hadibu,12.65,54.0333,24.1,78,86,3.69,YE,1706655503
65,kodiak,57.79,-152.4072,-11.27,44,0,1.54,US,1706655503
66,tofol,5.3248,163.0078,28.88,74,100,7.2,FM,1706655504
67,bethel,41.3712,-73.414,1.87,73,100,2.57,US,1706655504
68,rawala kot,33.8578,73.7604,4.66,88,100,1.39,PK,1706655504
69,campestre,-21.7111,-46.2464,23.14,44,99,1.47,BR,1706655504
70,invercargill,-46.4,168.35,16.68,77,46,4.02,NZ,1706655505
71,bredasdorp,-34.5322,20.0403,19.19,89,85,2.5,ZA,1706655352
72,minas de marcona,-15.2119,-75.1103,20.3,76,91,6.75,PE,1706655505
73,nogliki,51.8333,143.1667,-23.14,97,57,3.58,RU,1706655505
74,saint-francois,46.4154,3.9054,5.92,94,25,1.03,FR,1706655505
75,uyuni,-20.4597,-66.825,10.79,73,90,8.98,BO,1706655506
76,nacozari de garcia,30.3742,-109.6908,13.56,83,100,2.17,MX,1706655506
77,vadso,70.0744,29.7487,4.09,70,0,15.43,NO,1706655506
78,jamestown,42.097,-79.2353,2.77,86,100,5.14,US,1706655506
79,hillsdale,41.0026,-74.0404,3.35,76,100,0.45,US,1706655506
80,hawaiian paradise park,19.5933,-154.9731,28.91,72,0,4.12,US,1706655507
81,palikir - national government center,6.9248,158.1611,28.47,65,100,5.66,FM,1706655507
82,troy,42.6056,-83.1499,1.8,93,100,0.0,US,1706655411
83,nieuw amsterdam,5.8833,-55.0833,28.09,78,20,4.12,SR,1706655507
84,waitangi,-43.9535,-176.5597,17.68,97,100,2.68,NZ,1706655507
85,praia da vitoria,38.7333,-27.0667,16.14,88,75,4.65,PT,1706655507
86,gamay,12.3854,125.2979,24.68,89,100,6.63,PH,1706655508
87,uturoa,-16.7333,-151.4333,28.88,74,93,3.87,PF,1706655508
88,nabire,-3.3667,135.4833,25.98,90,92,1.37,ID,1706655247
89,nemuro,43.3236,145.575,-2.74,65,96,1.84,JP,1706655508
90,whitehorse,60.7161,-135.0538,2.79,57,20,8.75,CA,1706655498
91,chala,-7.5833,31.2667,14.64,90,100,0.48,TZ,1706655509
92,tra vinh,9.9347,106.3453,23.52,88,76,3.62,VN,1706655509
93,avarua,-21.2078,-159.775,29.03,70,20,4.12,CK,1706655509
94,saldanha,-33.0117,17.9442,19.03,91,54,3.57,ZA,1706655509
95,queenstown,-31.8976,26.8753,19.44,95,100,1.96,ZA,1706655338
96,kapuskasing,49.4169,-82.4331,1.05,86,100,2.06,CA,1706655509
97,mana,5.6592,-53.7767,26.23,83,18,4.24,GF,1706655510
98,padang,-0.9492,100.3543,26.03,82,98,2.06,ID,1706655510
99,ilulissat,69.2167,-51.1,-31.4,78,78,3.41,GL,1706655510
100,margaret river,-33.95,115.0667,17.11,71,2,3.4,AU,1706655510
101,tazovsky,67.4667,78.7,-20.41,93,89,6.75,RU,1706655510
102,talnakh,69.4865,88.3972,-21.86,81,100,4.68,RU,1706655511
103,san felipe,10.3399,-68.7425,24.31,83,43,2.79,VE,1706655511
104,san jose del cabo,23.0589,-109.6977,29.77,45,80,0.45,MX,1706655511
105,gemena,3.25,19.7667,24.88,37,100,0.7,CD,1706655511
106,basmakci,37.8972,30.0117,0.05,70,96,3.78,TR,1706655511
107,mount gambier,-37.8333,140.7667,18.58,57,16,3.42,AU,1706655512
108,callao,-12.0667,-77.15,26.16,69,0,5.14,PE,1706655512
109,south hedland,-20.4089,118.5983,26.96,89,75,2.57,AU,1706655512
